truevalue,estimate,dem,ev,year,month
58.05072271,64.16666667,3,0.152045335,2015,5
29.77191716,36.20833333,8,-0.047144013,2015,5
44.09007806,43.18181818,47,0.094066465,2015,10
23.51872911,42.20833333,347,-0.037467693,2015,9
49.37381556,61.16666667,10,0.02320939,2015,3
22.90567096,11.95833333,46,0.095873457,2015,1
78.64884957,69.2173913,61,-0.14711937,2015,12
61.26072228,105.4375,27,-0.134536502,2015,2
18.78554304,22,3,0.152045335,2015,8
15.07104179,7.894736842,0,0.123869952,2015,8
10.46326945,12,46,0.095873457,2015,10
64.50203245,51.29166667,55,0.089804247,2015,4
38.78210886,44.875,300,0.049379756,2015,11
23.70700075,15.7826087,6,0.14484667,2015,3
16.54730427,32.66666667,2,0.144980798,2015,10
64.14794304,59.58333333,31,0.072374424,2015,3
60.14921538,76.45833333,18,0.136162981,2015,4
41.43630033,36,46,0.095873457,2015,12
45.80697927,45.29166667,21,0.140187121,2015,4
49.27824302,35.08333333,1,0.149361688,2015,6
50.00370854,42,23,-0.061979362,2015,12
13.21046531,20.54166667,347,-0.037467693,2015,3
55.77687871,56.52173913,7,0.144086546,2015,4
16.99807769,13.33333333,344,-0.040623869,2015,10
31.12177807,37.45833333,726,-0.049464726,2015,5
66.46266823,51.91304348,4,0.144256895,2015,4
10.25190422,9.3,387,-0.036219,2015,7
21.74168441,24.54166667,82,-0.17724461,2015,6
13.83449777,10.18181818,54,0.057373612,2015,7
14.00211773,9.863636364,300,0.049379756,2015,12
7.940139406,12.29166667,66,0.07998897,2015,3
42.05144347,39.45833333,27,0.067314271,2015,4
161.8356118,153.8333333,69,-0.180453342,2015,1
25.59085518,40,21,0.140187121,2015,10
110.875029,104.5,76,-0.172777826,2015,5
24.54181176,22.625,3,0.152045335,2015,2
28.10562071,21.41666667,19,-0.052312465,2015,4
75.13612845,58.58823529,318,-0.036487958,2015,8
25.76849925,24.81818182,816,-0.051549123,2015,6
6.918217835,5.357142857,347,-0.037467693,2015,1
253.8200441,238.6363636,25,-0.060013471,2015,3
43.62275838,29.04347826,54,0.057373612,2015,2
10.26710403,6.25,318,-0.036487958,2015,2
31.27930022,36.29166667,16,0.139928563,2015,5
45.04639229,45.86956522,21,0.067032699,2015,4
18.33517819,19.66666667,4,0.116421141,2015,10
32.45501676,49.16666667,76,-0.172777826,2015,10
16.28443734,15.39130435,300,0.049379756,2015,4
102.6193129,105,9,0.025770844,2015,6
55.56038752,56.45833333,27,0.068097112,2015,10
78.32275945,84.5,33,0.062590369,2015,5
19.5491234,15.43478261,726,-0.049464726,2015,2
90.88126909,93.625,25,-0.060013471,2015,7
31.68973745,58.5,759,-0.050850333,2015,4
21.88470618,22.5,816,-0.051549123,2015,9
22.5287469,17.95833333,66,0.07998897,2015,4
18.81933774,19.33333333,10,0.122026532,2015,5
23.73257151,22.75,9,0.025770844,2015,1
32.23366067,26,8,-0.047144013,2015,6
105.4683124,110.7916667,7,0.144086546,2015,2
115.2913926,137.7083333,27,-0.134536502,2015,10
12.62674746,17.91666667,18,0.136162981,2015,10
14.19449988,9.958333333,387,-0.036219,2015,12
33.22076872,26.91666667,33,0.084475926,2015,5
40.06384155,47.04166667,79,-0.178420661,2015,10
44.69784269,46.45833333,23,-0.129274298,2015,12
22.28915496,23.29166667,79,-0.178420661,2015,2
45.05487902,45.13043478,336,-0.039659049,2015,8
80.54992455,66.625,2,0.144980798,2015,10
45.07733053,48.75,9,0.025770844,2015,2
25.44758371,32.95833333,16,0.139928563,2015,2
19.12179295,53.2173913,18,-0.053366587,2015,1
22.53009481,19.39130435,788,-0.050984032,2015,8
28.54407902,35.58333333,18,-0.053366587,2015,5
20.6233838,18.33333333,23,-0.061979362,2015,1
37.40471283,34.875,47,0.094066465,2015,2
25.04137408,31.52380952,336,-0.039659049,2015,5
69.11749255,55.95,33,0.062590369,2015,2
145.8227632,149.5454545,21,0.067032699,2015,12
64.38052868,62.45833333,54,0.057373612,2015,12
48.78480105,52.45833333,57,-0.143809964,2015,3
51.20392244,38.95833333,18,-0.053366587,2015,12
59.32935477,48.20833333,23,-0.056201966,2015,5
46.99700803,24.31818182,27,-0.134536502,2015,6
26.88424551,34.95833333,26,0.070851475,2015,1
39.36881348,36,69,-0.180453342,2015,2
66.93192074,56.95833333,59,-0.147033209,2015,3
58.31761501,79.41666667,57,-0.143809964,2015,10
13.43702531,16.41666667,788,-0.050984032,2015,3
42.16027574,48.5,387,-0.036219,2015,5
12.25916592,16.91304348,788,-0.050984032,2015,10
370.8413718,366.625,27,-0.134536502,2015,8
54.05426232,51.77272727,6,0.14484667,2015,7
81.95063685,86.95833333,68,-0.179888654,2015,1
24.62385383,19.60869565,46,0.095873457,2015,1
44.62555123,49.05882353,26,0.070851475,2015,2
38.39375833,39.91666667,16,0.139928563,2015,9
86.81367434,78.54166667,80,-0.176214204,2015,4
235.4939802,269.25,66,0.07998897,2015,9
84.75533704,92.85,10,0.02320939,2015,10
84.43910002,84.59090909,7,0.150130969,2015,5
15.99678135,11.58333333,318,-0.036487958,2015,2
54.27674788,47.29166667,3,0.152045335,2015,5
25.7102879,35.75,816,-0.051549123,2015,5
11.20216918,15.29166667,31,0.072374424,2015,5
19.21345988,21.30434783,336,-0.039659049,2015,10
41.12460288,50.7826087,21,0.140187121,2015,3
44.23765521,68.58333333,54,0.057373612,2015,4
40.37640969,81.29166667,3,0.152045335,2015,1
27.90991686,32.82608696,9,0.025348898,2015,3
47.71639168,44.17391304,69,-0.180453342,2015,3
55.87534269,67.58333333,75,-0.177883862,2015,3
42.37944384,32.52173913,9,0.025348898,2015,1
136.1705874,148.25,25,-0.130106123,2015,2
169.786047,213.7,75,-0.177883862,2015,10
36.18716444,51.2173913,347,-0.037467693,2015,10
46.93926383,38.04347826,75,-0.177883862,2015,5
58.45033612,66.875,26,0.070851475,2015,10
13.70207794,10.18181818,336,-0.039659049,2015,8
75.02136107,81.04761905,19,-0.052312465,2015,8
20.40233798,17.95238095,336,-0.039659049,2015,4
27.42774116,28.79166667,1,0.149361688,2015,10
38.85995068,44.79166667,79,-0.178420661,2015,8
142.2921158,160,23,-0.056201966,2015,9
36.79611566,37.29166667,726,-0.049464726,2015,5
104.4310482,114.4347826,75,-0.177883862,2015,3
44.4088794,31.5,59,-0.147033209,2015,3
48.82533884,45.34782609,10,0.02320939,2015,10
42.6192508,49.5,726,-0.049464726,2015,1
29.56752041,31.20833333,3,0.152045335,2015,1
27.72679044,24.66666667,300,0.049379756,2015,7
12.32431622,10.05882353,387,-0.036219,2015,5
61.06812731,48.58333333,59,-0.147033209,2015,7
62.9733352,38.125,9,0.146880305,2015,6
99.1553977,113.375,76,-0.172777826,2015,9
129.6735818,138.5909091,7,0.150130969,2015,12
50.57295541,58.70833333,9,-0.049215776,2015,7
91.800595,96.56521739,13,-0.049332921,2015,5
193.5707721,216,7,0.150130969,2015,7
58.69613479,54.58333333,25,-0.130106123,2015,1
