truevalue,estimate,dem,ev,year,month
58.05072271,64.16666667,3,0.152045335,2015,5
29.77191716,36.20833333,8,-0.047144013,2015,5
232.3071409,280.0416667,57,-0.143809964,2016,3
99.4721338,118.2727273,7,-0.049017424,2018,2
47.40852186,40,16,0.139928563,2018,6
15.67100818,12.95833333,300,0.049379756,2016,8
44.09007806,43.18181818,47,0.094066465,2015,10
282.2234563,303.5833333,47,0.094066465,2018,11
14.67339168,12.83333333,28,-0.044715596,2016,12
33.69416647,32.08333333,387,-0.036219,2018,2
23.51872911,42.20833333,347,-0.037467693,2015,9
49.37381556,61.16666667,10,0.02320939,2015,3
22.90567096,11.95833333,46,0.095873457,2015,1
33.53111793,34.25,2,0.144980798,2018,5
78.64884957,69.2173913,61,-0.14711937,2015,12
18.39466778,17.04166667,18,0.136162981,2018,2
61.26072228,105.4375,27,-0.134536502,2015,2
72.23251658,73.16666667,75,-0.179730082,2017,12
18.78554304,22,3,0.152045335,2015,8
15.07104179,7.894736842,0,0.123869952,2015,8
162.8479455,160.1176471,80,-0.176214204,2017,9
27.84219534,34.70833333,60,-0.147037803,2018,12
57.23233159,67.5,75,-0.177883862,2017,10
10.46326945,12,46,0.095873457,2015,10
64.50203245,51.29166667,55,0.089804247,2015,4
38.78210886,44.875,300,0.049379756,2015,11
44.4023356,42.91666667,18,0.136162981,2018,11
23.70700075,15.7826087,6,0.14484667,2015,3
16.54730427,32.66666667,2,0.144980798,2015,10
64.14794304,59.58333333,31,0.072374424,2015,3
35.79128916,26.5,61,-0.14711937,2017,2
25.8635468,16.82608696,744,-0.050279932,2016,11
60.14921538,76.45833333,18,0.136162981,2015,4
41.43630033,36,46,0.095873457,2015,12
29.97654405,38.04347826,66,0.07998897,2018,8
22.10435537,19.83333333,54,0.057373612,2016,2
45.80697927,45.29166667,21,0.140187121,2015,4
18.05655847,14,54,0.057373612,2016,5
41.75646412,34,25,-0.130106123,2016,4
57.49723435,140.3043478,2,0.127586656,2018,9
369.0314791,406.7916667,25,-0.060013471,2016,1
25.14004564,30.13043478,21,0.140187121,2016,11
22.33959533,16.95652174,52,0.082163263,2018,12
54.59602401,63.04166667,60,-0.147037803,2018,11
47.80378021,45.39130435,68,-0.179888654,2018,10
14.35897541,10.29166667,19,-0.052312465,2018,6
151.0336946,162.625,55,0.089804247,2018,10
6.917221154,7.043478261,46,0.100533762,2016,3
78.5831652,75.95833333,33,0.062590369,2018,11
76.56314989,81.21052632,18,0.136162981,2016,7
49.27824302,35.08333333,1,0.149361688,2015,6
41.82708799,39.65,9,0.025348898,2017,12
50.00370854,42,23,-0.061979362,2015,12
73.36080615,40.95652174,61,-0.14711937,2017,11
138.7321388,148.0416667,41,0.094718102,2017,12
13.21046531,20.54166667,347,-0.037467693,2015,3
143.2711081,134.9583333,80,-0.176214204,2018,2
55.77687871,56.52173913,7,0.144086546,2015,4
55.15388867,51.73913043,318,-0.036487958,2018,5
11.53302019,16.45833333,344,-0.040623869,2016,3
16.99807769,13.33333333,344,-0.040623869,2015,10
13.092783,17.85714286,33,0.062590369,2016,7
99.17070297,108.2173913,20,0.13739371,2018,5
20.13126115,21.77272727,54,0.057373612,2017,11
20.26334694,15.25,387,-0.036219,2017,11
122.1115942,125.1666667,41,0.087615208,2017,4
22.62988974,23.60869565,387,-0.036219,2017,6
85.71650235,93.625,1,0.149361688,2016,2
32.08348254,22.91304348,2,0.144980798,2018,7
221.9275441,232.2608696,10,0.02320939,2017,4
31.12177807,37.45833333,726,-0.049464726,2015,5
125.2914604,147.9130435,481,0.044456821,2018,1
87.41857676,83.91666667,21,0.067032699,2017,5
4.85940481,10.75,9,-0.049215776,2017,12
78.13822711,73.33333333,82,-0.17724461,2016,2
66.46266823,51.91304348,4,0.144256895,2015,4
212.4137681,257.7083333,41,0.094718102,2016,6
31.9915007,35.79166667,61,-0.14711937,2016,7
65.94435977,81.29166667,9,0.025770844,2016,3
10.25190422,9.3,387,-0.036219,2015,7
78.48821248,99.95454545,300,0.049379756,2018,9
35.56582749,42.85714286,23,-0.129274298,2018,2
21.74168441,24.54166667,82,-0.17724461,2015,6
13.83449777,10.18181818,54,0.057373612,2015,7
104.5025995,131.9583333,7,0.150130969,2018,10
39.36133594,34.79166667,318,-0.036487958,2016,5
38.52479681,42.68181818,759,-0.050850333,2018,1
34.89201172,31.28571429,10,0.122026532,2018,3
55.40984761,50.79166667,9,0.146880305,2018,9
14.00211773,9.863636364,300,0.049379756,2015,12
7.940139406,12.29166667,66,0.07998897,2015,3
54.26105736,66.54166667,9,0.025770844,2017,4
42.05144347,39.45833333,27,0.067314271,2015,4
34.04983966,36.35294118,41,0.094718102,2017,1
10.28128836,20,9,-0.049215776,2017,11
40.70818695,25.875,82,-0.17724461,2018,8
34.86631052,25.375,0,0.123869952,2016,1
76.45534196,104.9130435,2,0.127586656,2016,8
33.8498184,35.83333333,23,-0.061979362,2017,1
54.69809146,60.79166667,16,0.139928563,2018,3
34.39901545,25.95454545,8,-0.047144013,2016,8
92.98549554,100.0833333,69,-0.180453342,2016,2
135.4807409,109.7083333,23,-0.056201966,2017,1
60.84909212,61.45454545,16,0.139928563,2016,11
44.25616267,36.82608696,68,-0.179888654,2018,5
48.16619883,41.39130435,23,-0.061979362,2018,1
12.66579175,10.45454545,318,-0.036487958,2016,9
86.68419732,87,13,-0.049332921,2016,3
58.17866372,62.86956522,18,-0.053366587,2018,5
161.8356118,153.8333333,69,-0.180453342,2015,1
15.20873116,14.08333333,26,0.070851475,2017,6
51.88388739,55.54545455,357,-0.180888769,2016,8
10.47558744,9.5,46,0.100533762,2018,7
19.6660185,24.2173913,23,-0.129274298,2018,1
25.59085518,40,21,0.140187121,2015,10
17.61369791,12.66666667,318,-0.036487958,2018,10
30.90096411,33,46,0.100533762,2017,1
110.875029,104.5,76,-0.172777826,2015,5
36.56273651,31.54166667,52,0.082163263,2018,1
20.63913056,17.7826087,300,0.049379756,2017,4
14.14488967,13.08695652,8,-0.047144013,2017,1
45.62058512,43.54166667,46,0.100533762,2017,11
239.8089649,246.4166667,46,0.100533762,2017,10
40.73717629,49.41666667,33,0.084475926,2018,6
30.47129338,26.25,21,0.067032699,2017,5
14.72128655,11.5,25,-0.060013471,2016,12
26.98558781,22.61904762,4,0.144256895,2018,9
24.54181176,22.625,3,0.152045335,2015,2
28.10562071,21.41666667,19,-0.052312465,2015,4
64.02063566,66.91666667,21,0.067032699,2017,4
66.14433524,66.25,33,0.084475926,2016,5
14.80425785,15.20833333,9,0.146880305,2018,4
125.7360881,98.54166667,726,-0.049464726,2016,9
9.976625017,9.541666667,387,-0.036219,2018,6
38.72107075,35.33333333,318,-0.036487958,2018,3
75.13612845,58.58823529,318,-0.036487958,2015,8
25.76849925,24.81818182,816,-0.051549123,2015,6
30.63209202,39.95833333,79,-0.178420661,2018,9
6.918217835,5.357142857,347,-0.037467693,2015,1
13.53989565,7.470588235,318,-0.036487958,2018,7
