truevalue,estimate,dem,ev
28.79901543,24.45833333,816,-0.051549123
45.12546366,50.47826087,816,-0.051549123
25.83936079,32.68181818,816,-0.051549123
10.61897265,22.82608696,816,-0.051549123
77.61130298,107.4347826,816,-0.051549123
13.59723425,14.58333333,816,-0.051549123
60.26381794,75.85,816,-0.051549123
2.327675911,19.41666667,816,-0.051549123
12.81637905,22.04347826,816,-0.051549123
30.10486599,12.125,816,-0.051549123
11.1264162,22.45833333,816,-0.051549123
14.26052777,21.375,816,-0.051549123
15.86988699,21.86956522,816,-0.051549123
15.41786835,33.61904762,816,-0.051549123
31.426855,44.16666667,816,-0.051549123
30.00695155,36.39130435,816,-0.051549123
1.333078336,18.39130435,816,-0.051549123
19.23677118,22.25,816,-0.051549123
44.53306358,50.35714286,816,-0.051549123
17.01306252,17.33333333,816,-0.051549123
18.31786454,25.63636364,816,-0.051549123
19.04659997,37,816,-0.051549123
18.90853481,32.47619048,816,-0.051549123
17.30285379,21.29166667,816,-0.051549123
10.22744911,30,816,-0.051549123
22.94143258,25.72727273,816,-0.051549123
21.39210221,32.36363636,816,-0.051549123
11.13787112,11.17647059,816,-0.051549123
45.12549039,48.875,816,-0.051549123
25.42978273,23.41666667,816,-0.051549123
18.97786676,19.59090909,816,-0.051549123
21.98222067,24.58333333,816,-0.051549123
7.795714409,19.75,816,-0.051549123
28.44641214,43.5,816,-0.051549123
20.96820103,26.1,816,-0.051549123
25.9508018,27,816,-0.051549123
63.93753926,88.43478261,816,-0.051549123
18.14633689,15,816,-0.051549123
44.85393229,63.91666667,816,-0.051549123
29.84843745,35.73913043,816,-0.051549123
21.0068871,15.79166667,816,-0.051549123
13.10559213,13.7,816,-0.051549123
13.5219403,25.75,816,-0.051549123
38.9058629,52.26666667,816,-0.051549123
12.76347945,16.84210526,816,-0.051549123
16.6788565,18.83333333,816,-0.051549123
6.915665855,16.05,816,-0.051549123
80.61750937,111.875,816,-0.051549123
21.40476299,26.94736842,816,-0.051549123
30.25424379,24.33333333,816,-0.051549123
20.72993408,27.08695652,816,-0.051549123
18.32377665,17.91304348,816,-0.051549123
33.90873197,15.13043478,816,-0.051549123
18.01693893,16.2173913,816,-0.051549123
27.04178971,37.16666667,816,-0.051549123
14.96644012,18.43478261,816,-0.051549123
25.50738059,14.18181818,816,-0.051549123
31.451302,34.17391304,816,-0.051549123
37.10009476,50.04166667,816,-0.051549123
14.08645768,17.86956522,816,-0.051549123
29.30233437,25.58333333,816,-0.051549123
50.99520097,39.25,816,-0.051549123
14.94569689,26.2173913,816,-0.051549123
15.83967295,13.08333333,816,-0.051549123
20.79430552,24.04347826,816,-0.051549123
18.25146337,25,816,-0.051549123
28.91706799,31.25,816,-0.051549123
12.11479621,27.73913043,816,-0.051549123
29.33722772,18.42857143,816,-0.051549123
24.21868788,20.25,816,-0.051549123
26.90537651,33.86363636,816,-0.051549123
35.93159069,38.41666667,816,-0.051549123
15.13581076,22.91666667,816,-0.051549123
23.3196879,37,816,-0.051549123
16.99422791,23.68181818,816,-0.051549123
34.75630062,47.66666667,816,-0.051549123
18.25827349,15,816,-0.051549123
16.45060174,26.17391304,816,-0.051549123
12.1752187,21.79166667,816,-0.051549123
40.18277227,45.47619048,816,-0.051549123
6.561544924,14.56521739,816,-0.051549123
13.43211583,42,816,-0.051549123
41.65150635,48.5,816,-0.051549123
19.74086012,23.09090909,816,-0.051549123
