truevalue,estimate,dem,ev
649.7341531,622.7647059,82,-0.17724461
616.4363836,506.6086957,82,-0.17724461
527.0850987,448.4782609,82,-0.17724461
466.5756894,534.375,82,-0.17724461
440.2343154,405.7777778,82,-0.17724461
438.951022,462.9583333,82,-0.17724461
368.4054771,367.3333333,82,-0.17724461
366.267947,374.125,82,-0.17724461
339.5776829,312.2083333,82,-0.17724461
328.6782787,263.5,82,-0.17724461
312.8708078,284.25,82,-0.17724461
305.7358475,283.2608696,82,-0.17724461
302.2832941,306.125,82,-0.17724461
301.3075358,315.0833333,82,-0.17724461
291.7506623,252.0416667,82,-0.17724461
281.48006,292.173913,82,-0.17724461
279.7060121,250.4,82,-0.17724461
272.1903626,290.4166667,82,-0.17724461
271.5361569,265.125,82,-0.17724461
271.4433263,273.9583333,82,-0.17724461
267.5786087,253.1666667,82,-0.17724461
265.8724455,251.875,82,-0.17724461
260.8588545,177.5789474,82,-0.17724461
253.3391929,269.125,82,-0.17724461
247.4739879,278.3529412,82,-0.17724461
233.9315268,217.4782609,82,-0.17724461
231.6413404,219.375,82,-0.17724461
229.7771216,257.875,82,-0.17724461
222.8725305,233.5833333,82,-0.17724461
220.6165825,263.875,82,-0.17724461
217.3206754,224.75,82,-0.17724461
212.9855222,230.7222222,82,-0.17724461
210.7072044,228.7916667,82,-0.17724461
208.7047646,205.75,82,-0.17724461
208.5974287,199,82,-0.17724461
206.7180364,191.4583333,82,-0.17724461
206.0628717,219.1666667,82,-0.17724461
206.0195358,184.9583333,82,-0.17724461
204.827632,227.6086957,82,-0.17724461
203.1706986,213.3333333,82,-0.17724461
202.2131875,238.0434783,82,-0.17724461
201.7928739,215.7083333,82,-0.17724461
199.1291652,221.5,82,-0.17724461
198.4462911,173.25,82,-0.17724461
198.3443126,240.7272727,82,-0.17724461
197.5502817,186.125,82,-0.17724461
193.300733,191,82,-0.17724461
193.2825017,187,82,-0.17724461
192.1078406,198.7916667,82,-0.17724461
191.4269509,172.6521739,82,-0.17724461
190.125964,169.5833333,82,-0.17724461
189.0125084,167.3913043,82,-0.17724461
187.0901506,175.0416667,82,-0.17724461
184.3990952,247.3181818,82,-0.17724461
184.2030202,192.2916667,82,-0.17724461
183.1365697,197.3333333,82,-0.17724461
181.7953989,59.875,82,-0.17724461
180.6856149,147.8571429,82,-0.17724461
179.9973415,178,82,-0.17724461
179.2629518,180.5833333,82,-0.17724461
178.8982908,148.4,82,-0.17724461
178.7727211,221.2083333,82,-0.17724461
177.5339449,193.375,82,-0.17724461
175.1486767,156.25,82,-0.17724461
174.3166225,148.0416667,82,-0.17724461
171.7943085,147.6086957,82,-0.17724461
171.7328542,238.2727273,82,-0.17724461
171.4524302,167.875,82,-0.17724461
167.5502265,200.9166667,82,-0.17724461
165.9695617,187.3333333,82,-0.17724461
164.4121514,157.2083333,82,-0.17724461
162.2222363,172.7916667,82,-0.17724461
159.8732333,156.8333333,82,-0.17724461
158.613969,144.6666667,82,-0.17724461
158.3022955,193.6666667,82,-0.17724461
158.0876286,160.2916667,82,-0.17724461
156.9237292,163.7083333,82,-0.17724461
156.8428303,83.43478261,82,-0.17724461
156.0866117,164.4583333,82,-0.17724461
153.9723339,169.0454545,82,-0.17724461
152.6831761,141.3478261,82,-0.17724461
151.4379068,138.6521739,82,-0.17724461
151.2735857,151.173913,82,-0.17724461
150.8826935,149.375,82,-0.17724461
149.8431079,148.25,82,-0.17724461
