truevalue,estimate,dem,ev
105.160585,109.7083333,79,-0.178420661
40.98768077,63.83333333,481,0.044456821
32.69402802,36.52173913,18,0.136162981
44.49897353,61.60869565,31,0.072374424
139.7544977,145.3636364,13,-0.049332921
60.46396887,49.75,79,-0.178420661
54.7906831,92.66666667,481,0.044456821
9.278893046,19.22222222,744,-0.050279932
55.47695523,65.29166667,18,0.136162981
18.7781983,30.33333333,18,0.136162981
19.32032699,11.95454545,744,-0.050279932
23.486561,16.30434783,744,-0.050279932
54.22017158,60.09090909,31,0.072374424
16.93418443,16.77272727,744,-0.050279932
31.20170052,34.66666667,79,-0.178420661
96.75615092,106.5833333,79,-0.178420661
29.18688925,47.70833333,2,0.127586656
55.64177684,42.86666667,481,0.044456821
38.50817548,60.125,79,-0.178420661
12.61182096,19.42857143,31,0.072374424
66.48332286,71.83333333,18,0.136162981
24.94002059,46.2173913,2,0.127586656
59.73160247,39.26086957,79,-0.178420661
40.77093228,42.20833333,13,-0.049332921
26.36676204,17.56521739,13,-0.049332921
11.11669377,11.58333333,2,0.127586656
36.46446527,34.75,13,-0.049332921
58.72513485,54.33333333,31,0.072374424
19.87965723,26.58333333,31,0.072374424
368.5376322,338.2916667,13,-0.049332921
15.91407026,12.95833333,744,-0.050279932
24.16953178,25,744,-0.050279932
89.25614667,94.91666667,79,-0.178420661
12.45116737,9,481,0.044456821
76.21218021,74.16666667,79,-0.178420661
40.80764237,33.77777778,18,0.136162981
213.0824883,232.0434783,481,0.044456821
62.00559816,53.39130435,18,0.136162981
44.46945426,59.16666667,481,0.044456821
32.62664068,40.29166667,744,-0.050279932
27.61801189,29.5,31,0.072374424
102.8469365,96.08695652,79,-0.178420661
37.90040495,44.60869565,18,0.136162981
25.12333626,29.66666667,18,0.136162981
35.05815728,49,7,0.150130969
16.05331889,20.43478261,481,0.044456821
56.99831413,40,79,-0.178420661
87.37179165,92.58333333,79,-0.178420661
35.87374385,43.86956522,31,0.072374424
357.651164,347.6956522,31,0.072374424
237.5789177,315.1666667,13,-0.049332921
161.7694444,156.173913,18,0.136162981
55.24940849,46.5,18,0.136162981
41.95161023,34.20833333,481,0.044456821
52.00563556,58.33333333,2,0.127586656
12.78087205,9.666666667,481,0.044456821
38.20547486,26.375,13,-0.049332921
35.50214715,38.33333333,18,0.136162981
22.30926952,14.56521739,744,-0.050279932
68.2781047,71.375,13,-0.049332921
49.5469397,68.75,18,0.136162981
16.67302272,13.83333333,481,0.044456821
18.59958564,22.04761905,31,0.072374424
18.10857617,7.541666667,744,-0.050279932
16.00914638,15.375,31,0.072374424
36.16067314,64.27272727,2,0.127586656
19.65865645,19.75,18,0.136162981
265.266656,291.1666667,31,0.072374424
176.0379684,155.625,18,0.136162981
24.65470951,18,481,0.044456821
4.934909647,7,2,0.127586656
50.12607344,51.29166667,481,0.044456821
19.13451762,29.52380952,13,-0.049332921
40.34941931,38.75,744,-0.050279932
15.88251674,20,744,-0.050279932
85.09709385,94.59090909,31,0.072374424
47.82998728,48.08695652,18,0.136162981
73.92184394,82.0952381,13,-0.049332921
34.46671478,28.58333333,13,-0.049332921
56.00854676,72.54545455,31,0.072374424
42.96006843,45.41666667,7,0.150130969
12.93404873,15.79166667,13,-0.049332921
14.18076502,12.625,18,0.136162981
74.73014886,103.0833333,79,-0.178420661
23.17623753,12.86956522,744,-0.050279932
33.46745827,28.0625,481,0.044456821
34.09109659,48.20833333,7,0.150130969
26.41459373,26.08333333,31,0.072374424
53.65333852,61,31,0.072374424
23.69970163,21,18,0.136162981
30.67282374,27.875,744,-0.050279932
92.53969098,99.16666667,13,-0.049332921
185.4901163,182.2083333,79,-0.178420661
63.53043093,72,2,0.127586656
53.07957072,42,79,-0.178420661
15.28992753,7.166666667,481,0.044456821
57.82646273,59.36363636,79,-0.178420661
15.42620736,27.72727273,79,-0.178420661
27.53127874,27.75,18,0.136162981
34.29580269,54.2173913,744,-0.050279932
18.44563367,11.58333333,744,-0.050279932
47.72358674,48.5,13,-0.049332921
24.16230578,28.125,2,0.127586656
16.65741148,8.833333333,744,-0.050279932
81.41231914,103.5238095,31,0.072374424
48.64722082,42.95833333,18,0.136162981
11.07955034,24.18181818,744,-0.050279932
7.044411547,11.85714286,481,0.044456821
24.74004433,22,18,0.136162981
52.97691332,51.83333333,31,0.072374424
504.3661266,511.173913,79,-0.178420661
103.010847,88.20833333,31,0.072374424
66.33121062,62.5,31,0.072374424
53.39594224,73.5,31,0.072374424
109.8135321,92.375,18,0.136162981
50.53638875,50.85,79,-0.178420661
49.02950628,44.625,481,0.044456821
50.77210896,54.45833333,79,-0.178420661
34.20904548,63.11111111,481,0.044456821
127.0881467,141.3333333,13,-0.049332921
28.57160711,33.75,744,-0.050279932
120.6527044,116,79,-0.178420661
60.34121014,47.875,18,0.136162981
26.75559091,27.875,18,0.136162981
15.94888481,9.666666667,481,0.044456821
13.41054424,9.125,481,0.044456821
56.26906282,61.91666667,79,-0.178420661
42.59478898,50.95652174,2,0.127586656
91.78702663,92.16666667,7,0.150130969
39.25540582,42.04166667,31,0.072374424
17.78345594,20.16666667,481,0.044456821
61.15695284,140.3043478,2,0.127586656
56.02665483,52.45,79,-0.178420661
33.47958938,42.08333333,18,0.136162981
27.80293994,11.13636364,481,0.044456821
21.59429714,22.91666667,31,0.072374424
51.23151158,55.66666667,31,0.072374424
20.90186661,17.375,18,0.136162981
35.59058623,28.20833333,18,0.136162981
20.99607902,12.875,481,0.044456821
22.73785391,30.25,18,0.136162981
70.78843966,65.34782609,13,-0.049332921
125.459268,123,13,-0.049332921
59.36318702,80.54166667,79,-0.178420661
20.63553456,28.70833333,481,0.044456821
77.90414844,71.83333333,79,-0.178420661
17.82844578,18,18,0.136162981
21.85833636,14.13043478,481,0.044456821
24.99738799,29.88888889,18,0.136162981
82.22140128,77.08333333,18,0.136162981
127.3071546,119.9583333,18,0.136162981
88.34282481,82.66666667,31,0.072374424
28.89672402,27.82608696,13,-0.049332921
85.78472645,104.3333333,13,-0.049332921
29.14273032,37.625,18,0.136162981
67.00276241,71.71428571,13,-0.049332921
71.26595041,52.70833333,18,0.136162981
45.25089928,44.41666667,13,-0.049332921
