truevalue,estimate,dem,ev,year,month
36.67202486,27.95454545,31,0.072374424,2017,1
28.66717582,26.95238095,13,-0.049332921,2017,9
37.75030379,34.31818182,31,0.072374424,2017,3
17.27873683,5.111111111,7,0.150130969,2017,4
25.38759438,36.46153846,2,0.127586656,2017,8
35.87540295,14.76923077,13,-0.049332921,2017,5
40.64601855,49.79166667,79,-0.178420661,2017,6
31.62502047,29.625,13,-0.049332921,2017,1
284.3113132,409.826087,13,-0.049332921,2017,4
115.3211761,98.58333333,481,0.044456821,2017,12
36.84344645,29.82352941,18,0.136162981,2017,11
13.31206248,15.45833333,744,-0.050279932,2017,11
100.8526383,124.0416667,2,0.127586656,2017,2
11.76098609,13.75,18,0.136162981,2017,8
29.28449548,35.34782609,2,0.127586656,2017,6
58.27316831,58.04347826,13,-0.049332921,2017,12
41.95485819,24.19047619,18,0.136162981,2017,11
37.42783525,36.625,18,0.136162981,2017,11
144.881809,157.7826087,18,0.136162981,2017,12
42.32842995,49.09090909,744,-0.050279932,2017,5
26.1686709,25.26086957,13,-0.049332921,2017,6
57.4901096,40.70833333,79,-0.178420661,2017,2
34.89310553,37.54166667,744,-0.050279932,2017,12
25.56574899,5.739130435,481,0.044456821,2017,12
13.62746954,4,481,0.044456821,2017,7
51.40877158,46.86956522,31,0.072374424,2017,12
45.2739053,42.125,18,0.136162981,2017,5
102.0658487,159.9583333,481,0.044456821,2017,3
32.02066894,22.5,13,-0.049332921,2017,9
61.88714229,56.20833333,2,0.127586656,2017,3
193.620151,215.5833333,79,-0.178420661,2017,12
32.31600045,25.7826087,7,0.150130969,2017,11
76.3212491,70.25,79,-0.178420661,2017,5
50.40762426,65.13636364,2,0.127586656,2017,5
48.77639014,74.75,79,-0.178420661,2017,12
57.58449683,54.29166667,13,-0.049332921,2017,5
23.39566481,18.54545455,18,0.136162981,2017,12
47.02689585,55.5625,31,0.072374424,2017,1
45.5354014,21.25,18,0.136162981,2017,11
9.83268198,15.33333333,18,0.136162981,2017,11
20.7492773,11.83333333,481,0.044456821,2017,6
22.15304951,19.25,18,0.136162981,2017,11
21.39732539,27.5,31,0.072374424,2017,12
41.09463221,42.125,18,0.136162981,2017,12
48.56515584,54.25,481,0.044456821,2017,5
47.08968291,55.125,18,0.136162981,2017,12
56.34856088,43.5,744,-0.050279932,2017,10
199.0056739,191.0833333,79,-0.178420661,2017,8
20.37717398,23.66666667,31,0.072374424,2017,6
13.47497788,18.41666667,744,-0.050279932,2017,12
112.3815946,129.2083333,2,0.127586656,2017,2
63.83327136,67.08333333,13,-0.049332921,2017,11
80.41074788,66.14285714,13,-0.049332921,2017,8
49.44312135,54.33333333,18,0.136162981,2017,11
43.67471987,51.04166667,79,-0.178420661,2017,9
