truevalue,estimate,dem,ev,year,month
173.8415233,197.8461538,7,0.150130969,2015,12
36.67202486,27.95454545,31,0.072374424,2017,1
39.37642458,51.63636364,7,0.150130969,2016,2
101.3661435,129.875,79,-0.178420661,2016,1
76.55753012,78.73913043,13,-0.049332921,2015,10
28.66717582,26.95238095,13,-0.049332921,2017,9
63.87038481,67.20833333,18,0.136162981,2018,2
63.69340994,78.66666667,7,0.150130969,2018,1
40.53529216,41.16666667,18,0.136162981,2018,12
35.01874322,37.04545455,13,-0.049332921,2016,4
37.75030379,34.31818182,31,0.072374424,2017,3
18.05066968,22.375,18,0.136162981,2018,11
15.34071483,14.29411765,481,0.044456821,2016,9
17.27873683,5.111111111,7,0.150130969,2017,4
25.38759438,36.46153846,2,0.127586656,2017,8
41.97190072,24.22727273,79,-0.178420661,2015,10
41.58422549,42.29166667,481,0.044456821,2015,2
133.8923746,198.2916667,2,0.127586656,2018,2
35.87540295,14.76923077,13,-0.049332921,2017,5
17.72613767,16.26086957,744,-0.050279932,2016,9
14.21866818,20.34782609,18,0.136162981,2018,3
17.84085906,31.5,7,0.150130969,2018,11
15.41225505,18.41666667,79,-0.178420661,2016,9
20.56670413,6.652173913,481,0.044456821,2015,12
40.64601855,49.79166667,79,-0.178420661,2017,6
316.4900965,325.2941176,13,-0.049332921,2016,3
15.03725596,7.583333333,481,0.044456821,2016,12
19.71983135,17.375,18,0.136162981,2018,12
86.63293469,118.9166667,7,0.150130969,2015,3
31.62502047,29.625,13,-0.049332921,2017,1
33.50205178,34.80952381,13,-0.049332921,2018,3
91.87608232,99.91666667,79,-0.178420661,2018,9
148.067902,163.2083333,481,0.044456821,2015,4
30.51237814,41.69565217,31,0.072374424,2018,4
71.29125632,59.70833333,481,0.044456821,2018,1
35.8885446,45.125,31,0.072374424,2016,3
284.3113132,409.826087,13,-0.049332921,2017,4
115.3211761,98.58333333,481,0.044456821,2017,12
36.84344645,29.82352941,18,0.136162981,2017,11
45.83787667,40.95833333,18,0.136162981,2016,3
35.0354599,31.20833333,18,0.136162981,2016,3
21.89897404,17.70833333,744,-0.050279932,2018,9
46.44184475,33.14285714,2,0.127586656,2016,3
13.31206248,15.45833333,744,-0.050279932,2017,11
18.76958618,23.13043478,744,-0.050279932,2015,11
25.91347968,14.33333333,18,0.136162981,2018,9
60.4281618,28.83333333,481,0.044456821,2016,1
100.8526383,124.0416667,2,0.127586656,2017,2
38.04487242,42.08333333,18,0.136162981,2018,4
30.24043319,27.82608696,744,-0.050279932,2016,1
11.76098609,13.75,18,0.136162981,2017,8
29.28449548,35.34782609,2,0.127586656,2017,6
58.27316831,58.04347826,13,-0.049332921,2017,12
41.95485819,24.19047619,18,0.136162981,2017,11
33.28575342,34.58333333,79,-0.178420661,2015,3
25.73243095,23.27272727,18,0.136162981,2018,12
78.10994827,65.08333333,2,0.127586656,2018,12
116.6551501,109.8333333,18,0.136162981,2016,4
57.33224666,76.40909091,31,0.072374424,2015,3
33.48803212,33.70833333,13,-0.049332921,2015,9
45.17150635,50.08333333,7,0.150130969,2016,2
13.84727621,8.142857143,481,0.044456821,2016,5
51.55660832,50.66666667,744,-0.050279932,2018,3
37.42783525,36.625,18,0.136162981,2017,11
31.29166052,31.76190476,481,0.044456821,2015,12
144.881809,157.7826087,18,0.136162981,2017,12
40.65459257,41.42857143,481,0.044456821,2018,2
43.38113382,33.14285714,31,0.072374424,2018,4
42.32842995,49.09090909,744,-0.050279932,2017,5
26.1686709,25.26086957,13,-0.049332921,2017,6
17.70255093,5.833333333,481,0.044456821,2018,1
87.02879641,95.14285714,481,0.044456821,2018,6
83.18253645,79.6,2,0.127586656,2016,4
82.40008688,133,79,-0.178420661,2018,12
57.4901096,40.70833333,79,-0.178420661,2017,2
97.99880885,97.5,2,0.127586656,2015,12
38.05583386,30.41666667,13,-0.049332921,2015,9
24.2958331,15.16666667,481,0.044456821,2015,12
34.89310553,37.54166667,744,-0.050279932,2017,12
42.55449345,58.5,31,0.072374424,2015,10
54.01344982,57.33333333,13,-0.049332921,2016,11
30.05380128,19.95,7,0.150130969,2016,12
9.177697439,5.347826087,481,0.044456821,2016,9
51.71417197,45.25,31,0.072374424,2018,12
43.11208896,28.125,481,0.044456821,2015,12
25.56574899,5.739130435,481,0.044456821,2017,12
49.68835373,52.25,2,0.127586656,2016,1
34.36540769,33.58333333,744,-0.050279932,2016,12
13.62746954,4,481,0.044456821,2017,7
51.40877158,46.86956522,31,0.072374424,2017,12
45.2739053,42.125,18,0.136162981,2017,5
53.59745712,73.5,31,0.072374424,2016,2
24.16949077,17.45,744,-0.050279932,2018,10
102.0658487,159.9583333,481,0.044456821,2017,3
22.72664457,10.40909091,31,0.072374424,2015,8
57.10525026,52.95833333,31,0.072374424,2018,1
31.55611928,30.65217391,18,0.136162981,2016,5
32.02066894,22.5,13,-0.049332921,2017,9
63.28311839,48.5,481,0.044456821,2015,1
46.4501695,41.04166667,31,0.072374424,2018,5
98.48465839,101.5909091,79,-0.178420661,2016,7
93.8079067,98.91666667,18,0.136162981,2016,10
34.55224304,40.72727273,18,0.136162981,2016,12
13.10691588,18,744,-0.050279932,2018,10
32.95062013,30.04166667,31,0.072374424,2015,2
61.88714229,56.20833333,2,0.127586656,2017,3
193.620151,215.5833333,79,-0.178420661,2017,12
13.01952355,21.17391304,79,-0.178420661,2018,2
31.25149202,32.375,13,-0.049332921,2016,6
32.31600045,25.7826087,7,0.150130969,2017,11
76.3212491,70.25,79,-0.178420661,2017,5
50.40762426,65.13636364,2,0.127586656,2017,5
125.0310551,119.9583333,18,0.136162981,2018,7
30.55694462,37.16666667,744,-0.050279932,2018,11
27.36277972,20.43478261,31,0.072374424,2016,3
18.86944028,23.56521739,744,-0.050279932,2018,10
86.75901344,102.7894737,79,-0.178420661,2018,6
79.23739715,68.66666667,31,0.072374424,2018,4
52.50800505,45.40909091,13,-0.049332921,2016,2
81.66087501,86.29166667,31,0.072374424,2018,8
88.11701323,90.65217391,18,0.136162981,2018,5
94.89142262,101.7916667,481,0.044456821,2015,10
67.84529785,74.25,31,0.072374424,2015,5
29.3288032,46.34782609,2,0.127586656,2018,1
48.77639014,74.75,79,-0.178420661,2017,12
23.38357905,11,481,0.044456821,2015,5
131.5431046,135.2608696,13,-0.049332921,2016,4
56.58480685,47.95833333,13,-0.049332921,2016,8
19.62167449,22.82608696,744,-0.050279932,2018,12
5.667414198,7.047619048,744,-0.050279932,2016,2
33.18691279,38.22727273,744,-0.050279932,2016,1
57.58449683,54.29166667,13,-0.049332921,2017,5
23.39566481,18.54545455,18,0.136162981,2017,12
11.83139074,10.125,18,0.136162981,2015,5
47.02689585,55.5625,31,0.072374424,2017,1
121.2422675,125.75,79,-0.178420661,2018,3
126.8614317,100.2916667,481,0.044456821,2018,11
58.96602517,46.76190476,31,0.072374424,2015,7
20.98891936,19.5,481,0.044456821,2016,10
66.94893306,72.125,18,0.136162981,2018,10
62.87430842,81.04166667,13,-0.049332921,2016,10
35.41281688,21.91304348,31,0.072374424,2015,7
25.50152378,25.20833333,18,0.136162981,2015,12
48.49684852,48.5,13,-0.049332921,2018,10
45.5354014,21.25,18,0.136162981,2017,11
9.83268198,15.33333333,18,0.136162981,2017,11
74.21925548,77.70833333,481,0.044456821,2015,12
68.35978657,68.25,744,-0.050279932,2018,1
51.39770439,43.2173913,79,-0.178420661,2015,6
14.88304809,11.52380952,481,0.044456821,2018,3
241.9907776,267.4166667,18,0.136162981,2015,2
20.7492773,11.83333333,481,0.044456821,2017,6
132.8177553,123.1304348,31,0.072374424,2016,5
28.0090312,13.20833333,744,-0.050279932,2015,10
24.435481,17.66666667,18,0.136162981,2015,6
65.68510007,66.09090909,2,0.127586656,2018,6
23.37527748,26.875,18,0.136162981,2018,9
52.63539316,65.75,481,0.044456821,2016,10
75.76469584,89.95454545,18,0.136162981,2018,2
45.95587756,47.85714286,744,-0.050279932,2015,12
71.79008335,65.69565217,79,-0.178420661,2015,2
52.32564802,43,481,0.044456821,2018,1
22.15304951,19.25,18,0.136162981,2017,11
168.3704905,168.9583333,18,0.136162981,2018,5
30.62262859,33.41666667,18,0.136162981,2015,6
11.36328717,13.54166667,18,0.136162981,2018,6
29.92849668,29.91666667,13,-0.049332921,2016,9
80.62776263,110.826087,481,0.044456821,2018,10
21.39732539,27.5,31,0.072374424,2017,12
79.70819602,81.42857143,31,0.072374424,2018,10
41.09463221,42.125,18,0.136162981,2017,12
54.10231077,53.04166667,744,-0.050279932,2016,12
23.60137156,21.04166667,31,0.072374424,2015,9
15.6628704,5.117647059,744,-0.050279932,2018,5
48.56515584,54.25,481,0.044456821,2017,5
54.66279748,50.75,18,0.136162981,2018,10
82.34920419,115.6521739,79,-0.178420661,2016,12
47.08968291,55.125,18,0.136162981,2017,12
19.02413567,17.25,7,0.150130969,2016,8
81.31019472,99.625,7,0.150130969,2015,12
56.34856088,43.5,744,-0.050279932,2017,10
54.43878861,59.70833333,79,-0.178420661,2018,10
125.6444391,211,2,0.127586656,2018,10
21.54359432,28.58333333,13,-0.049332921,2016,1
87.02977576,89.33333333,18,0.136162981,2016,4
199.0056739,191.0833333,79,-0.178420661,2017,8
22.59441723,11.5,744,-0.050279932,2018,4
21.04885452,21,13,-0.049332921,2016,6
54.67260584,63,2,0.127586656,2015,5
94.14356886,96.47826087,13,-0.049332921,2018,8
16.81089143,20.95652174,481,0.044456821,2018,10
84.13785733,78.91666667,79,-0.178420661,2016,11
20.37717398,23.66666667,31,0.072374424,2017,6
50.89079576,51.95833333,744,-0.050279932,2018,2
33.91136741,44.66666667,18,0.136162981,2018,6
19.19556278,18,18,0.136162981,2015,1
13.47497788,18.41666667,744,-0.050279932,2017,12
54.90740545,62.54166667,31,0.072374424,2016,12
357.2860192,408.4545455,18,0.136162981,2015,5
112.3815946,129.2083333,2,0.127586656,2017,2
20.68950403,25.13043478,31,0.072374424,2018,11
22.22448995,38.66666667,7,0.150130969,2018,12
43.75230517,7.291666667,744,-0.050279932,2015,2
201.013286,190.75,13,-0.049332921,2018,9
80.73969042,86.625,79,-0.178420661,2016,3
111.0842694,117.3333333,79,-0.178420661,2015,4
49.36730874,53.26086957,481,0.044456821,2016,2
63.83327136,67.08333333,13,-0.049332921,2017,11
34.53447188,43.75,18,0.136162981,2015,10
20.8626169,18,18,0.136162981,2018,12
108.5624875,115.2916667,31,0.072374424,2016,1
28.93993483,13.4,481,0.044456821,2018,3
24.89241884,24.63636364,2,0.127586656,2016,8
146.1667339,156.2727273,18,0.136162981,2015,3
80.41074788,66.14285714,13,-0.049332921,2017,8
13.45787577,10.57142857,744,-0.050279932,2016,8
49.44312135,54.33333333,18,0.136162981,2017,11
222.3915205,242.6666667,13,-0.049332921,2018,2
18.26033314,24.77272727,7,0.150130969,2018,9
53.36086517,49,31,0.072374424,2018,9
43.67471987,51.04166667,79,-0.178420661,2017,9
21.09788478,23.66666667,18,0.136162981,2018,12
75.29705569,103.7391304,79,-0.178420661,2016,7
20.19360688,24.82608696,79,-0.178420661,2018,11
41.46019778,38.47619048,744,-0.050279932,2018,3
