code,long,lat,x,y
1001A,116.366 ,39.867 ,954020.966 ,4339544.324 
1002A,116.170 ,40.287 ,932325.442 ,4384709.974 
1003A,116.434 ,39.952 ,958601.717 ,4349723.723 
1004A,116.434 ,39.875 ,959610.022 ,4341007.421 
1005A,116.473 ,39.972 ,961604.253 ,4352277.008 
1006A,116.361 ,39.943 ,952633.452 ,4347932.917 
1007A,116.315 ,39.993 ,948139.397 ,4353202.850 
1008A,116.720 ,40.144 ,979921.238 ,4374003.290 
1009A,116.644 ,40.394 ,970294.904 ,4401273.167 
1010A,116.230 ,40.195 ,938475.539 ,4375033.588 
1011A,116.407 ,40.003 ,955689.142 ,4355173.106 
1012A,116.225 ,39.928 ,941464.631 ,4344997.549 
1013A,117.151 ,39.097 ,1030215.721 ,4260982.163 
1014A,117.193 ,39.173 ,1032706.807 ,4269941.233 
1015A,117.145 ,39.165 ,1028766.488 ,4268590.637 
1016A,117.184 ,39.121 ,1032674.520 ,4263960.374 
1017A,117.237 ,39.108 ,1037314.765 ,4263133.611 
1018A,117.202 ,39.093 ,1034577.544 ,4261030.285 
1019A,117.184 ,39.213 ,1031365.708 ,4274363.596 
1020A,117.269 ,39.134 ,1039658.404 ,4266327.665 
1021A,117.307 ,39.088 ,1043504.638 ,4261568.521 
1023A,117.707 ,39.034 ,1078008.158 ,4259856.225 
1024A,117.457 ,38.839 ,1059667.913 ,4235317.435 
1025A,117.401 ,39.124 ,1050922.528 ,4266629.895 
1026A,117.764 ,39.159 ,1081015.033 ,4274416.671 
1027A,117.157 ,38.919 ,1033173.124 ,4241126.430 
1029A,114.455 ,38.051 ,813648.467 ,4118448.496 
1030A,114.605 ,38.040 ,826625.389 ,4118392.008 
1031A,114.502 ,38.140 ,816733.410 ,4128793.429 
1032A,114.459 ,38.006 ,814464.350 ,4113363.560 
1033A,114.533 ,38.018 ,820725.551 ,4115320.640 
1034A,114.521 ,38.052 ,819350.413 ,4119119.999 
1035A,114.354 ,37.910 ,806514.231 ,4101692.187 
1036A,118.166 ,39.631 ,1107829.359 ,4331729.752 
1037A,118.144 ,39.643 ,1105790.439 ,4332848.192 
1038A,118.185 ,39.641 ,1109278.944 ,4333051.410 
1039A,118.219 ,39.668 ,1111647.716 ,4336467.880 
1040A,118.184 ,39.658 ,1108897.461 ,4334951.343 
1041A,118.200 ,39.630 ,1110650.972 ,4331958.495 
1042A,119.526 ,39.828 ,1218206.148 ,4369748.448 
1043A,119.762 ,40.018 ,1234719.606 ,4393870.683 
1044A,119.602 ,39.957 ,1222442.239 ,4385031.870 
1045A,119.607 ,39.936 ,1223178.847 ,4382755.140 
1046A,119.537 ,39.942 ,1217250.340 ,4382575.005 
1047A,114.513 ,36.618 ,834138.376 ,3957601.901 
1048A,114.543 ,36.616 ,836747.950 ,3957713.428 
1049A,114.504 ,36.578 ,833749.134 ,3953018.790 
1050A,114.497 ,36.620 ,832681.199 ,3957709.526 
1051A,115.493 ,38.863 ,892995.610 ,4218674.452 
1052A,115.522 ,38.896 ,895091.306 ,4222590.402 
1053A,115.471 ,38.911 ,890589.434 ,4223828.575 
1054A,115.461 ,38.842 ,890556.068 ,4215961.462 
1055A,115.442 ,38.876 ,888524.256 ,4219610.355 
1056A,115.521 ,38.871 ,895313.868 ,4219773.029 
1057A,114.899 ,40.837 ,820391.231 ,4435232.075 
1058A,114.892 ,40.795 ,820324.424 ,4430475.563 
1059A,114.881 ,40.812 ,819261.178 ,4432261.790 
1060A,114.903 ,40.769 ,821542.387 ,4427648.040 
1061A,114.904 ,40.873 ,820443.311 ,4439296.424 
1062A,117.966 ,40.916 ,1072218.229 ,4473375.870 
1063A,117.953 ,40.984 ,1070074.470 ,4480853.925 
1064A,117.963 ,40.936 ,1071647.858 ,4475553.797 
1065A,117.818 ,40.973 ,1059217.478 ,4478185.486 
1066A,117.938 ,41.011 ,1068521.878 ,4483710.651 
1067A,116.684 ,39.518 ,985209.246 ,4303438.806 
1068A,116.773 ,39.575 ,991926.895 ,4310708.585 
1069A,116.715 ,39.557 ,987305.288 ,4308157.284 
1070A,116.746 ,39.534 ,990243.250 ,4305912.495 
1071A,116.885 ,38.299 ,1018575.182 ,4168728.362 
1072A,116.858 ,38.325 ,1015918.093 ,4171403.179 
1073A,116.871 ,38.323 ,1017018.927 ,4171239.377 
1074A,115.695 ,37.758 ,923566.225 ,4096258.770 
1075A,115.643 ,37.738 ,919287.112 ,4093568.636 
1076A,115.691 ,37.739 ,923403.894 ,4094137.717 
1077A,114.482 ,37.097 ,826281.505 ,4011252.023 
1078A,114.526 ,37.053 ,830574.003 ,4006735.453 
1079A,114.533 ,37.096 ,830715.327 ,4011643.860 
1080A,114.485 ,37.062 ,826942.404 ,4007374.696 
